waktu,temp
01/01/2018 00.00,26
01/01/2018 00.10,26.1
01/01/2018 00.20,26.5
01/01/2018 00.30,26.9
01/01/2018 00.40,27.3
01/01/2018 00.50,27.9
01/01/2018 01.00,28.5
01/01/2018 01.10,28.8
01/01/2018 01.20,29
01/01/2018 01.30,29.2
01/01/2018 01.40,29.8
01/01/2018 01.50,30.4
01/01/2018 02.00,30.1
01/01/2018 02.10,30.4
01/01/2018 02.20,30.6
01/01/2018 02.30,31
01/01/2018 02.40,31.3
01/01/2018 02.50,31.35
01/01/2018 03.00,31.4
01/01/2018 03.10,31.2
01/01/2018 03.20,31.6
01/01/2018 03.30,32
01/01/2018 03.40,32
01/01/2018 03.50,32.2
01/01/2018 04.00,32.43333333
01/01/2018 04.10,32.66666667
01/01/2018 04.20,32.9
01/01/2018 04.30,32.3
01/01/2018 04.40,31.2
01/01/2018 04.50,31.3
01/01/2018 05.00,31.53333333
01/01/2018 05.10,31.76666667
01/01/2018 05.20,32
01/01/2018 05.30,30.9
01/01/2018 05.40,31
01/01/2018 05.50,31.1
01/01/2018 06.00,31.2
01/01/2018 06.10,31.3
01/01/2018 06.20,31.6
01/01/2018 06.30,31.6
01/01/2018 06.40,31.4
01/01/2018 06.50,31.15
01/01/2018 07.00,30.9
01/01/2018 07.10,31.23333333
01/01/2018 07.20,31.56666667
01/01/2018 07.30,31.9
01/01/2018 07.40,33.1
01/01/2018 07.50,33.4
01/01/2018 08.00,33.9
01/01/2018 08.10,34.4
01/01/2018 08.20,34.7
01/01/2018 08.30,34.5
01/01/2018 08.40,33.8
01/01/2018 08.50,33.8
01/01/2018 09.00,33.7
01/01/2018 09.10,33.6
01/01/2018 09.20,33.5
01/01/2018 09.30,33.4
01/01/2018 09.40,33.3
01/01/2018 09.50,32.95
01/01/2018 10.00,32.6
01/01/2018 10.10,32.275
01/01/2018 10.20,31.95
01/01/2018 10.30,31.625
01/01/2018 10.40,31.3
01/01/2018 10.50,30.9
01/01/2018 11.00,30.6
01/01/2018 11.10,30.4
01/01/2018 11.20,30.2
01/01/2018 11.30,30
01/01/2018 11.40,29.8
01/01/2018 11.50,29.7
01/01/2018 12.00,29.65
01/01/2018 12.10,29.6
01/01/2018 12.20,29.53333333
01/01/2018 12.30,29.46666667
01/01/2018 12.40,29.4
01/01/2018 12.50,29.4
01/01/2018 13.00,29.3
01/01/2018 13.10,29.2
01/01/2018 13.20,29.2
01/01/2018 13.30,29.1
01/01/2018 13.40,29.1
01/01/2018 13.50,29
01/01/2018 14.00,28.9
01/01/2018 14.10,28.9
01/01/2018 14.20,28.8
01/01/2018 14.30,28.75
01/01/2018 14.40,28.7
01/01/2018 14.50,28.6
01/01/2018 15.00,28.5
01/01/2018 15.10,28.4
01/01/2018 15.20,28.35
01/01/2018 15.30,28.3
01/01/2018 15.40,28.3
01/01/2018 15.50,28.25
01/01/2018 16.00,28.2
01/01/2018 16.10,28.1
01/01/2018 16.20,28
01/01/2018 16.30,28
01/01/2018 16.40,28
